word0	word1	score	success	speed
louse	train	0.6702147525676937	0.9505135387488328	3.946778711484594
noise	ultra	0.6702147525676937	0.9492685963274199	3.9788359788359786
route	snail	0.6702147525676937	0.9505135387488328	3.955804544039838
seoul	train	0.6702147525676937	0.9539371304077187	3.9723000311235603
solar	unite	0.6702147525676937	0.9486461251167133	3.984126984126984
royal	stein	0.6686585745409276	0.9474011826953004	3.9763460939931528
alert	noisy	0.6686585745409275	0.9520697167755992	3.9735449735449735
alien	story	0.6686585745409275	0.9474011826953004	3.975412387177093
alter	noisy	0.6686585745409275	0.9517584811702459	3.995020230314348
elton	syria	0.6686585745409275	0.9492685963274199	3.990040460628696
inlay	store	0.6686585745409275	0.9427326486150016	3.980392156862745
inset	royal	0.6686585745409275	0.9483348895113601	3.990351696234049
irony	least	0.6686585745409275	0.9517584811702459	3.9869281045751634
irony	slate	0.6686585745409275	0.9470899470899471	3.98755057578587
irony	stale	0.6686585745409275	0.9433551198257081	3.980392156862745
irony	steal	0.6686585745409275	0.9442888266417678	3.9931528166822283
italy	norse	0.6686585745409275	0.9474011826953004	3.991596638655462
italy	rosen	0.6686585745409275	0.9467787114845938	3.980392156862745
italy	senor	0.6686585745409275	0.9477124183006536	3.977902272019919
italy	snore	0.6686585745409275	0.9411764705882353	3.984126984126984
laity	norse	0.6686585745409275	0.9477124183006536	3.9601618425147835
laity	rosen	0.6686585745409275	0.9474011826953004	3.9548708372237784
laity	senor	0.6686585745409275	0.9502023031434796	3.967009025832555
laity	snore	0.6686585745409275	0.9433551198257081	3.957983193277311
later	noisy	0.6686585745409275	0.9511360099595394	3.991285403050109
leroy	saint	0.6686585745409275	0.9520697167755992	3.9682539682539684
leroy	satin	0.6686585745409275	0.9505135387488328	3.987239340180517
leroy	stain	0.6686585745409275	0.9502023031434796	3.9831932773109244
loire	tansy	0.6686585745409275	0.9498910675381264	3.9449112978524745
rainy	stole	0.6686585745409275	0.9427326486150016	3.972922502334267
loire	nasty	0.6686585745409274	0.945845004668534	3.9601618425147835
riley	santo	0.6686585745409274	0.9483348895113601	3.9881730469965766
aisle	thorn	0.665732959850607	0.9502023031434796	3.9361967009025833
alien	short	0.665732959850607	0.9536258948023654	3.9536258948023653
elton	shari	0.665732959850607	0.9492685963274199	3.969498910675381
inert	shoal	0.665732959850607	0.9514472455648926	3.97416744475568
inter	shoal	0.665732959850607	0.9477124183006536	3.9744786803610332
least	rhino	0.665732959850607	0.9523809523809523	3.934640522875817
other	slain	0.665732959850607	0.9526921879863056	3.9968876439464673
rhino	slate	0.665732959850607	0.9470899470899471	3.9355742296918765
rhino	stale	0.665732959850607	0.945845004668534	3.950513538748833
rhino	steal	0.665732959850607	0.9486461251167133	3.9623404917522564
solar	thine	0.665732959850607	0.9548708372237784	3.9439775910364148
alone	shirt	0.6657329598506069	0.9492685963274199	3.9442888266417677
alton	shire	0.6657329598506069	0.9489573607220666	3.9377528789293494
arson	lithe	0.6657329598506069	0.9551820728291317	3.983815748521631
ethan	loris	0.6657329598506069	0.9520697167755992	3.9831932773109244
hasnt	loire	0.6657329598506069	0.9530034235916589	3.923747276688453
horse	latin	0.6657329598506069	0.954248366013072	3.9601618425147835
latin	shore	0.6657329598506069	0.9511360099595394	3.9402427637721757
leona	shirt	0.6657329598506069	0.9526921879863056	3.9536258948023653
lithe	sonar	0.6657329598506069	0.9548708372237784	3.9713663243075006
loath	rinse	0.6657329598506069	0.9558045440398382	3.962029256146903
loath	risen	0.6657329598506069	0.9592281356987239	3.9807033924680986
